"filename", "language", "PHP", "HTML", "comment", "blank", "total"
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_inversores/actualizar_inversor.php", "PHP", 16, 0, 3, 10, 29
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_inversores/alta_inversor.php", "PHP", 15, 0, 3, 9, 27
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_inversores/eliminar_inversor.php", "PHP", 13, 0, 2, 6, 21
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_inversores/form_actualizar_inversor.html", "HTML", 0, 36, 0, 6, 42
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_inversores/form_intro_datos_inversor.html", "HTML", 0, 23, 0, 7, 30
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_inversores/listado_inversores.php", "PHP", 40, 0, 4, 10, 54
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_mentores/actualizar_mentor.php", "PHP", 18, 0, 3, 9, 30
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_mentores/alta_mentor.php", "PHP", 17, 0, 3, 8, 28
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_mentores/eliminar_mentor.php", "PHP", 13, 0, 2, 6, 21
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_mentores/form_actualizar_mentor.html", "HTML", 0, 46, 0, 11, 57
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_mentores/form_intro_datos_mentor.html", "HTML", 0, 27, 0, 9, 36
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_mentores/listado_mentores.php", "PHP", 36, 0, 4, 7, 47
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_programas/actualizar_programa.php", "PHP", 17, 0, 3, 7, 27
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_programas/alta_programa.php", "PHP", 16, 0, 3, 7, 26
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_programas/eliminar_programa.php", "PHP", 13, 0, 2, 6, 21
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_programas/form_actualizar_programa.html", "HTML", 0, 41, 0, 9, 50
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_programas/form_intro_datos_programa.html", "HTML", 0, 24, 0, 7, 31
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/gestionar_programas/listado_programas.php", "PHP", 35, 0, 4, 8, 47
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/opciones_administrador.html", "HTML", 0, 26, 0, 4, 30
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/validar_startup/form_validar_startup.html", "HTML", 0, 22, 1, 2, 25
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/validar_startup/listado_startups_validar.php", "PHP", 27, 0, 3, 8, 38
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/validar_startup/validar_startup.php", "PHP", 31, 0, 3, 8, 42
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/login.php", "PHP", 51, 0, 1, 6, 58
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/login_form.html", "HTML", 0, 24, 0, 4, 28
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/responsable_startup/apuntarse_programa/apuntarse_programa.php", "PHP", 14, 0, 1, 7, 22
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/responsable_startup/apuntarse_programa/listado_programas.php", "PHP", 32, 0, 2, 6, 40
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/responsable_startup/opciones_startup.html", "HTML", 0, 21, 0, 6, 27
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/responsable_startup/registrar_startup/alta_startup.php", "PHP", 25, 0, 4, 8, 37
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/responsable_startup/registrar_startup/form_intro_datos_startup.html", "HTML", 0, 27, 0, 9, 36
"Total", "-", 429, 317, 51, 210, 1007
